Date,EW_gross_nav,EW_net_nav,60_40_gross_nav,60_40_net_nav
2005-04-06,1000902.0481339516,889566.0337015932,1006988.2662961186,894760.3185722107
2005-04-07,1003567.5741829963,891864.4576838105,1009184.5465314474,896640.8126026744
2005-04-08,1001340.459446405,889814.4513400773,1006593.6407880808,894267.681346342
2005-04-11,1003455.629648108,891623.4206445465,1008897.6332294795,896243.5972449923
2005-04-12,1009024.6610870366,896501.0359767444,1015273.0023516448,901835.9588812503
2005-04-13,1005128.1575672914,892967.9088213487,1011164.3657035516,898114.8083147405
2005-04-14,995720.9450443615,884539.5579344049,1005009.8002787523,892577.0527588497
2005-04-15,993701.3231940672,882675.2438574439,1003851.9280129129,891477.8748659287
2005-04-18,994220.3581340214,883066.2335213107,1002578.0112973631,890275.8118152131
2005-04-19,1003318.547573797,891077.1581192539,1010139.0142279586,896919.2240809948
2005-04-20,997900.1531611521,886194.1998553472,1004005.3018834091,891401.8148531924
2005-04-21,1002957.8915344423,890615.437002246,1008630.0529548081,895437.1341439531
2005-04-22,1004827.0032576852,892204.5036299711,1010432.7127849067,896966.4250878721
2005-04-25,1009632.334558037,896400.4363956819,1015031.9832703951,900978.0338378525
2005-04-26,1006243.5154036141,893320.5358949077,1010595.037895326,896968.1391149071
2005-04-27,1006646.4470633665,893607.3511746824,1013655.661327868,899613.4514487529
2005-04-28,1001223.2035494641,888722.1773601319,1010368.9563151011,896625.1221428433
2005-04-29,1010728.2519430947,897088.6709567938,1017586.0336844048,902958.5652393993
2005-05-02,1009665.9031689167,896074.5681191807,1018930.8160011198,904080.1992051793
2005-05-03,1010442.3767114597,896692.5683436093,1020547.3101058693,905442.7348771315
2005-05-04,1015201.380825464,900844.664988212,1024637.8421215222,909000.047099901
2005-05-05,1018705.0186803563,903882.1421701493,1028774.2308905323,912597.4716034934
2005-05-06,1011310.1399370304,897249.0371696355,1021711.5221073789,906259.9075162212
2005-05-09,1016650.9650930603,901916.2845388715,1026939.2503402904,910824.986214843
2005-05-10,1012867.5328646163,898488.2528913567,1023407.2688925613,907620.0721694975
2005-05-11,1015495.1043865656,900747.7941587983,1026085.9787152669,909923.6823073837
2005-05-12,1006368.3166622262,892580.8128433925,1019603.6545866001,904103.0002597088
2005-05-13,1004242.0437566981,890624.1124557385,1018989.611397467,903486.7616479654
2005-05-16,1007557.8866629445,893494.123090548,1022718.0345375449,906720.8613460623
2005-05-17,1010816.4684189323,896312.8946048953,1026385.3681644825,909900.282249515
2005-05-18,1018745.8273311575,903272.8932545747,1034174.3653175532,916733.0871747644
2005-05-19,1021492.6250648323,905636.6582778574,1036683.0560016914,918709.6428045089
2005-05-20,1019137.5675577967,903476.8314869818,1035898.7333836404,917941.6617903973
2005-05-23,1023194.2001257241,907001.3770370368,1041111.9249689482,921732.6312379107
2005-05-24,1020425.725954768,904475.3035525646,1038299.4530040085,919169.4985137813
2005-05-25,1017150.4180654834,901500.3833700193,1033526.3087120235,914871.054037039
2005-05-26,1016744.1502416942,901068.7605611668,1034121.9986412429,915325.7462399788
2005-05-27,1020122.5799236014,903991.3115497405,1036831.1703874682,917651.0530836339
2005-05-30,1020122.5799236014,903919.566207554,1036831.1703874682,917578.2236349764
2005-05-31,1018238.762911857,902178.5967143407,1037135.9343395052,917775.1109605908
2005-06-01,1024215.4918574141,907402.4889177373,1045101.1760916327,924147.1806052433
2005-06-02,1028432.1078369762,911066.1787265497,1046462.8545550038,925051.7731014407
2005-06-03,1024666.5829757778,907658.0733252068,1041081.2209669723,920221.1022060337
2005-06-06,1029425.8861458799,911801.8667996265,1044939.4801830546,923558.4189835704
2005-06-07,1032489.8908398941,914443.4076798505,1049143.7484684724,926771.1686939712
2005-06-08,1031629.6018470428,913608.9022486557,1048081.5969983601,925759.3537625452
2005-06-09,1033177.3973763789,914907.1179159058,1049880.0519347314,927173.7833071259
2005-06-10,1031888.170603856,913692.8603291357,1045501.2771966666,923233.1990584256
2005-06-13,1033011.2834535406,914614.813436426,1045296.7256257029,922979.2966726654
2005-06-14,1033837.0168686445,915273.3186321042,1046768.8884851215,924205.9392073012
2005-06-15,1036523.2944169105,917491.0045909747,1048727.6873052882,925862.0386211907
2005-06-16,1042080.4659973404,921367.9487632525,1051476.1745936675,928006.7891731217
2005-06-17,1048914.4000110272,926143.2930221553,1057304.892236588,932063.2933924705
2005-06-20,1046670.5362473337,924088.5608270399,1054578.255001643,929585.6629490107
2005-06-21,1047968.5834887278,925161.2454706896,1055824.3195194167,930610.2625607741
2005-06-22,1048343.1567452858,925418.4984571943,1058227.2477004705,932536.1472923289
2005-06-23,1043503.9560367352,921073.2777687488,1051671.0880694771,926684.6857016248
2005-06-24,1041443.8990853995,919181.8190579691,1050677.161268934,925735.3362496677
2005-06-27,1041208.8333828432,918901.3983558418,1050561.3257704745,925559.8043317543
2005-06-28,1042120.2465637436,919632.8220949236,1052789.1392240352,927449.0832518942
2005-06-29,1042162.9242075569,919597.4968153723,1051887.06477706,926580.7984180321
2005-06-30,1040603.5144640193,918148.5003046092,1051957.6273620909,926569.4170617742
2005-07-01,1037372.9056617657,915225.1906599952,1050465.033253934,925181.1956245682
2005-07-04,1037372.9056617657,915152.5537401015,1050465.033253934,925107.7685455503
2005-07-05,1039020.3444104457,916533.2647436401,1053344.5239519128,927570.2139148866
2005-07-06,1036492.64544357,914230.8081044506,1051374.290801524,925761.6192224218
2005-07-07,1037388.2083211333,914948.1748339656,1052225.4564107796,926437.6188961829
2005-07-08,1044851.1522720519,921457.6734149263,1059533.428437418,932745.9780741127
2005-07-11,1051254.2631052544,926853.8317181702,1064523.4058126057,936201.0435869778
2005-07-12,1053906.7413005275,928665.8610851598,1066161.9996303432,937294.4586249535
2005-07-13,1049645.7335372122,924837.5060245958,1063101.9589068582,934529.8981248137
2005-07-14,1045063.7522254493,920726.9458420066,1060446.2847593143,932121.2334428215
2005-07-15,1046060.8129668266,921532.3073839999,1060748.6068775766,932312.9935586194
2005-07-18,1044646.7580431659,920213.4514091037,1059168.106939251,930849.8677143742
2005-07-19,1047546.5703036645,922694.8191410683,1063011.91993218,934154.1257058616
2005-07-20,1053476.6243629523,927844.8704512228,1067855.312325251,938127.9038719127
2005-07-21,1049450.6685932993,924225.3892586025,1060882.7276432656,931927.9225530539
2005-07-22,1053256.6232550142,927503.8486882651,1065781.6720210954,936157.4168840442
2005-07-25,1051996.4883106218,926320.5551819014,1063829.7988063116,934368.6394027789
2005-07-26,1052819.3670413585,926971.6118478478,1066113.1525589447,936299.9676305165
2005-07-27,1057228.1162557742,930357.0092328673,1069318.0375468568,938857.8260053451
2005-07-28,1065441.2301502998,936079.9479279104,1076994.6379169559,944190.2404948601
2005-07-29,1061804.1858874192,932810.2058447812,1071677.748082686,939454.0415438602
2005-08-01,1064712.959210503,935291.5723711208,1072633.1692293973,940217.0228904398
2005-08-02,1068883.654669627,938320.8445122421,1076581.8093394628,943603.5845205231
2005-08-03,1073006.3992274457,941156.5937322117,1079324.2122355364,945583.9357734397
2005-08-04,1066489.9577757947,935366.1902241269,1071872.0995704287,938980.1764218605
2005-08-05,1055349.300482988,925521.0290828166,1059925.3331295433,928440.0614485656
2005-08-08,1046085.9430585162,917323.7888207458,1051282.099567903,920795.3478010583
2005-08-09,1051551.36491379,922043.6713738246,1057425.5784170546,926103.2096068546
2005-08-10,1056323.1912274277,926154.6277180596,1060610.7988029795,928819.3551512411
2005-08-11,1068156.5526997945,936456.2837312813,1069513.7192552725,936542.2833413205
2005-08-12,1066401.9063403248,934843.6576997023,1068427.1015732528,935516.4348589915
2005-08-15,1068107.401559202,936264.5580369778,1071587.263512294,938209.2302405797
2005-08-16,1067315.445890055,935496.0514511068,1069766.8057533917,936540.8996749159
2005-08-17,1061166.2162137069,930032.0401261015,1065845.802407084,933033.8789894547
2005-08-18,1058186.592532772,927346.8129498527,1064375.3612321673,931672.6148743478
2005-08-19,1057723.536500201,926867.4126575759,1064901.3007131203,932059.0397156554
2005-08-22,1061355.2644546062,929976.2809749631,1068244.592546008,934911.2960642532
2005-08-23,1061632.4415092464,930145.3402558224,1068631.963641192,935176.1180009093
2005-08-24,1057516.8924422627,926465.6960914715,1065419.9208113777,932290.9900401745
2005-08-25,1060140.5617476443,928690.7020858956,1067503.6887129745,934040.3905788881
2005-08-26,1054453.864428402,923635.4090167716,1062013.1333288285,929162.1547455662
2005-08-29,1055953.8487901068,924875.9967829176,1063868.1318427282,930711.3619071353
2005-08-30,1053150.5590294003,922347.2826312463,1064776.9842946455,931432.5938126759
2005-08-31,1066546.1251936127,934005.8921665141,1077781.5647087414,942734.6584693558
2005-09-01,1075087.8803118775,941360.9439874608,1082551.2292918644,946582.275148072
2005-09-02,1075091.0289971917,941288.9898312822,1082457.9598607465,946425.5948248896
2005-09-05,1075091.0289971917,941214.2843558987,1082457.9598607465,946350.4816824431
2005-09-06,1084277.0469100643,947617.5528012455,1090929.7691807253,952262.010762931
2005-09-07,1083174.2987459411,946578.5844411172,1088812.2971742938,950338.1136432457
2005-09-08,1080717.2250162766,944356.2392903742,1085016.1285272844,946949.3147024653
2005-09-09,1087916.1480943868,949981.0140937718,1091253.5703860691,952306.7189000509
2005-09-12,1084671.2786482829,947072.1610933567,1087066.867913565,948577.5198954064
2005-09-13,1079402.446782785,942396.5577017495,1084047.2553016925,945867.3137475341
2005-09-14,1080075.998162981,942909.8234896894,1082321.5512813516,944286.5107137376
2005-09-15,1081780.8482712985,944323.3290097066,1081155.9883741695,943194.6557489146
2005-09-16,1087275.8758129522,949045.1793194861,1083905.1753306524,945518.1749101814
2005-09-19,1085892.4584666095,947762.3215362917,1080926.308643675,942844.5922731855
2005-09-20,1081308.657723108,943686.3805015894,1076278.8988310834,938716.0316676662
2005-09-21,1079622.4033265777,942139.8463893726,1071724.652622625,934669.3778866219
2005-09-22,1078275.1249669637,940889.3617453437,1073726.3344239092,936340.898671012
2005-09-23,1076167.4121304,938975.5241778899,1070815.4648612242,933728.1679312068
2005-09-26,1081265.3483472092,943349.0438306843,1073990.834288445,936422.9167028223
2005-09-27,1078476.5541817297,940841.0937346308,1072823.566874157,935330.8457616351
2005-09-28,1081827.9010574433,943690.0709158097,1074036.5539219019,936314.1441751162
2005-09-29,1091111.9458778165,951367.2001489066,1081395.9943076367,942655.5817648958
2005-09-30,1091382.712635657,951495.6664107024,1082888.0844944469,943881.4265621561
2005-10-03,1087054.1870562597,947646.4303681295,1079060.484963198,940470.2517316466
2005-10-04,1079744.9304796136,941199.3292304943,1071768.4344942477,934040.1227010164
2005-10-05,1071778.693802741,934180.5680603514,1064787.5787883527,927882.2163079112
2005-10-06,1073348.535059978,935474.7271286395,1062163.8480885082,925522.191075148
2005-10-07,1073595.9799764238,935616.1432150546,1062012.2358359683,925316.6287799893
2005-10-10,1068067.2437588344,930723.7115256367,1056548.7115382885,920482.8975076596
2005-10-11,1066770.2627083985,929519.6432366379,1054774.4676323954,918864.0923624731
2005-10-12,1056580.6734374769,920567.2747148337,1046299.157883353,911407.922128383
2005-10-13,1056481.0616222885,920407.425011983,1045115.7971295917,910304.7889368654
2005-10-14,1064612.800945212,927418.7567541873,1054138.0534914827,918091.0049038574
2005-10-17,1066336.412057703,928846.645660873,1053519.9896806055,917479.8440379032
2005-10-18,1058645.4884937194,922073.6454638097,1047383.8102780536,912063.2084335615
2005-10-19,1063552.3422793166,926274.304187623,1055431.0368778293,918998.3580400017
2005-10-20,1050043.5655336848,914435.6592146007,1043791.5626469182,908790.5503795536
2005-10-21,1057189.5925369489,920586.2380973683,1049366.5219641745,913572.3341860418
2005-10-24,1066580.606094924,928690.7418637843,1058375.3608761707,921342.8707196652
2005-10-25,1067589.1683300396,929495.2093616243,1055332.333743271,918620.715178
2005-10-26,1062997.5136343848,925423.7213312289,1050565.5424414254,914398.5250868897
2005-10-27,1059635.9483710884,922423.7655856723,1046605.0024801478,910878.7515277894
2005-10-28,1070855.7510766403,932117.5086100246,1057282.9210447927,920099.6399972908
2005-10-31,1069362.4887608076,930743.7332298188,1059633.2911556654,922072.0239779027
2005-11-01,1063870.395207139,925889.6973264767,1057118.3963723378,919810.4317406528
2005-11-02,1072409.1854444416,933247.5495858282,1063319.349350706,925132.9488185925
2005-11-03,1071040.9447014714,931982.7919212562,1061999.8764709819,923911.5281802715
2005-11-04,1065360.3311418856,926965.7515573589,1058343.7926107787,920657.5065583948
2005-11-07,1069411.654425681,930417.2229885382,1061545.0561055853,923369.2304456764
2005-11-08,1070013.8473999018,930867.3046165595,1062549.337097894,924169.5061068675
2005-11-09,1074454.7779420675,934656.8501332556,1062821.8423531272,924333.1751827537
2005-11-10,1081810.9355407902,940981.7147298749,1071676.011673543,931960.2616298285
2005-11-11,1086308.0488093146,944818.7165572689,1074913.9537249624,934702.1040018386
2005-11-14,1082910.5935879347,941788.7871005599,1071420.2621140012,931589.9470571569
2005-11-15,1081755.7635549188,940709.7060675262,1070820.1624024021,930994.2302324853
2005-11-16,1086871.4571882042,945083.7241856272,1071829.0646446527,931797.503251572
2005-11-17,1099810.7809511668,955307.1675299677,1081860.3322336408,940444.2607436574
2005-11-18,1102387.7848884752,957037.243202902,1083965.9570036824,942200.0089796578
2005-11-21,1107728.748433257,960685.8821739951,1087263.2237180949,944991.2665299107
2005-11-22,1114505.5657992465,965326.6818993905,1093206.0082526465,950081.4189190748
2005-11-23,1116487.5079227355,966638.715360721,1095329.157643216,951851.1983058854
2005-11-24,1116487.5079227355,966561.998002359,1095329.157643216,951775.6545599881
2005-11-25,1117177.9847298553,966994.1783585057,1095459.201818951,951813.117435619
2005-11-28,1115470.5328488627,965439.5160635144,1092653.9827560124,949300.2022329343
2005-11-29,1114068.0910052734,964149.0807533914,1089817.7539630102,946760.7390847998
2005-11-30,1106558.7495768159,957573.7439973498,1085431.0822010897,942874.7524526101
2005-12-01,1120516.5435431988,969059.8666384381,1093902.968459953,950159.1425329753
2005-12-02,1121380.0141103806,969595.7454133332,1094276.5676002856,950408.2395911091
2005-12-05,1122432.107730271,970261.9338614849,1092642.997580502,948914.0114508085
2005-12-06,1124356.31985214,971531.0044611437,1095073.360011901,950949.3673082115
2005-12-07,1122155.9115786008,969552.5755331807,1090947.7120980506,947291.2289727507
2005-12-08,1127177.834940061,973357.891181656,1094310.0273967036,950135.6112440642
2005-12-09,1131785.3838141428,976479.1156951907,1095703.6846070075,951270.247713062
2005-12-12,1135174.9106448526,978756.643372807,1097814.74699076,952883.3729778581
2005-12-13,1135534.2276168717,978942.3448058221,1102493.5630715722,956071.7747302356
2005-12-14,1132459.7347929971,976214.135342989,1106439.151944744,958748.3330253712
2005-12-15,1127199.1029002208,971601.8361232807,1101491.542130646,954385.053881703
2005-12-16,1128778.9741521669,972886.5125091784,1104089.204943477,956560.048573198
2005-12-19,1124968.875658931,969525.4026938723,1099921.3269187196,952873.1678028376
2005-12-20,1119852.7374338245,965039.2444940131,1099719.7331751112,952622.9002130105
2005-12-21,1123854.8341002297,968411.4828516362,1101880.2173288926,954418.7963119374
2005-12-22,1132005.670866241,975358.097651366,1107306.6114183487,958984.2620910942
2005-12-23,1133236.8236574635,976341.4734629835,1109128.1045371867,960185.3792984615
2005-12-26,1133236.8236574635,976263.9860444546,1109128.1045371867,960109.1741096282
2005-12-27,1131252.8591010692,974477.3535148703,1105942.0448634622,957274.9841565021
2005-12-28,1136149.9854633135,978618.4685628728,1106425.247809805,957617.2579915792
2005-12-29,1134312.076931449,976957.7249071231,1104899.5078886638,956220.7201621737
2005-12-30,1131974.1492315547,974866.5835294843,1102229.108262511,953833.7674594542
2006-01-02,1131974.1492315547,974789.2131657121,1102229.108262511,953758.0663667987
2006-01-03,1154830.7063406894,991304.1206475697,1117876.9101482949,965814.998392719
2006-01-04,1160748.3868340137,995304.9597667736,1123247.4537682757,969465.6787482104
2006-01-05,1157388.6440782722,992345.0943605591,1124095.8275242657,969989.904924755
2006-01-06,1170410.0059611322,1001805.6745851431,1130521.030937407,974363.7995070799
2006-01-09,1177062.5551624484,1006297.4366823998,1133350.756134604,976253.0226245386
2006-01-10,1173333.954695362,1003029.9068213061,1131084.7632812182,974223.6466098522
2006-01-11,1177911.6686524118,1006750.3521542448,1132963.1855943534,975764.2461902905
2006-01-12,1174803.2222078345,1004013.6905278974,1131203.4009826279,974171.190548545
2006-01-13,1177987.7207129085,1006655.55212398,1131071.1458549956,973979.979734854
2006-01-16,1177987.7207129085,1006575.6588261924,1131071.1458549956,973902.6797364623
2006-01-17,1172961.354731165,1002200.8054950339,1127248.324086208,970533.7659086583
2006-01-18,1163851.8011968618,994337.8875043003,1123429.1665963216,967168.5364368189
2006-01-19,1176285.173409925,1004881.4351127241,1128554.2602862173,971504.0083567315
2006-01-20,1164880.6885762704,995059.0153247527,1119572.1345351115,963694.7368346622
2006-01-23,1172355.50254941,1001365.1435435587,1124390.5987524157,967765.8452836835
2006-01-24,1174989.9049083323,1003535.8397058749,1126704.620787754,969680.7231160251
2006-01-25,1176420.537751371,1004678.0694650721,1125024.0089899108,968157.372050196
2006-01-26,1179692.3901331637,1007264.0996854405,1128709.9673977369,971252.544518052
2006-01-27,1184889.990027899,1010750.4656770952,1134855.5020443501,976421.5489844911
2006-01-30,1188670.2360179431,1013266.0312240956,1133701.989646283,975351.5814020133
2006-01-31,1188217.0419461136,1012799.2940650075,1133516.852812368,975114.894794888
2006-02-01,1190974.787576269,1014708.8301433834,1135448.9033950223,976643.9603622572
2006-02-02,1185038.8472648556,1009570.8849687316,1128668.2836653283,970734.1730090306
2006-02-03,1179895.768641639,1005109.2141130263,1126352.9461379435,968665.7773598875
2006-02-06,1181642.9577150985,1006517.8087700211,1126818.1923055332,968989.0117544809
2006-02-07,1166824.7191295102,993815.8217882812,1120839.0138305612,963770.4104008363
2006-02-08,1169584.3727887357,996087.4183494166,1122410.4708185168,965045.1617895061
2006-02-09,1176752.9969574395,1002113.58929597,1123979.6607113616,966317.7556746316
2006-02-10,1170368.762301486,996597.2924924679,1122792.6147938068,965220.5261522997
2006-02-13,1164078.0524320994,991161.5059497728,1121143.0528445586,963725.8580023022
2006-02-14,1173411.5835579063,999029.9355310865,1126592.5731907082,968333.7371750184
2006-02-15,1171470.260847081,997297.8262741921,1128156.8953186884,969601.4582346798
2006-02-16,1180240.6937024302,1004685.13375657,1133304.2000184457,973948.3887666517
2006-02-17,1184143.8545788624,1007927.979877124,1135991.2762287324,976180.3331766916
2006-02-20,1184143.8545788624,1007847.9855930067,1135991.2762287324,976102.8585470743
2006-02-21,1183707.5042739434,1007396.6113821276,1134637.177139573,974861.8776173808
2006-02-22,1191422.467232475,1013882.493746368,1141976.0003435207,980200.7165604769
2006-02-23,1187698.332241548,1010632.8443495635,1140745.9164388615,979067.095826314
2006-02-24,1191900.512570437,1014128.3425770177,1140331.2215610638,978633.4722436409
2006-02-27,1190604.2445121512,1012944.9267500347,1140371.834797787,978590.6572435786
2006-02-28,1189893.0854555904,1012259.4928119512,1137090.7757210995,975697.4063834393
2006-03-01,1195493.407656462,1016496.5107963049,1141872.7523552869,979723.2152214741
2006-03-02,1196499.9422658177,1017116.6351983417,1139315.469288302,977451.3186157629
2006-03-03,1190564.668956645,1011990.4745405273,1134956.7156482816,973634.2437325905
2006-03-06,1187675.427232396,1009454.2768749844,1135717.9967061114,974210.0439267259
2006-03-07,1180462.1611310637,1003243.3094159139,1130082.9767195587,969299.0494533895
2006-03-08,1178893.2647860502,1001830.3237677563,1132722.2280127748,971485.8695692146
2006-03-09,1180387.4298404816,1003020.5635410495,1133246.0843029572,971858.0559391414
2006-03-10,1186106.1008612043,1007800.3332795092,1140007.0068838277,977579.0093060094
2006-03-13,1188869.5363858715,1010068.3610288323,1140434.7418663243,977868.2150478676
2006-03-14,1199412.357026534,1018579.6629448322,1149508.6371745546,984496.9732722248
2006-03-15,1206540.3307062236,1023357.6353604612,1154872.8020738983,988109.7778738798
